Corresponding USGS gauge number,09072500,09095500,09109000,09124700,09127800,09152500,09180000,09180500,09211200,09217000,09234500,09251000,09260000,09302000,09306500,09315000,09328500,09355500,09379500,09380000,,09382000,09402000,09402500,09415000,09421500,09423000,09426000,09427520,09429490,,,,,,,,,,
USGS gauge name,"Colorado River At Glenwood Springs, CO","Colorado River Near Cameo, CO","Taylor River Below Taylor Park Reservoir, CO","Gunnision River Above Blue Mesa Reservoir,CO","Gunnison River At Crystal Reservoir,CO","Gunnison River Near Grand Junction, CO","Dolores River Near Cisco, UT",Colorado River Near Cisco UT,Green R Bel Fontenelle Res WY,"Green R. Nr Green River, WyY","Green River Near Greendale, UT","Yampa River Near Maybell, CO\","Little Snake River Near Lily, CO","Duchesne River Near Randlett, UT","White River Near Watson, UT","Green River At Green River, UT","San Rafael River Near Green River, UT","San Juan River Near Archuleta,NM","San Juan River Near Bluff, UT","Colorado R At Lees Ferry, AZ",,"Paria R At Lees Ferry, AZ","Little Colorado River Near Cameron, AZ","Colorado River Near Grand Canyon, AZ","Virgin River At Littlefield, AZ","Colorado River Below Hoover Dam, AZ-NV","Colorado River Below Davis Dam, AZ-NV","Bill Williams River Below Alamo Dam, AZ","Colorado River Below Parker Dam, AZ-CA","Colorado River Above Imperial Dam, AZ",,,,,,,,,,
,(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),,(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),,,,,,,,,,
Date,UpperColoradoReach.Inflow,ColoRAbv09095500:GainsAbvCameo.Local Inflow,TaylorRiver.Inflow,TaylorAboveBlueMesa:GainsAboveBlueMesa.Local Inflow,GunnisonRiverAboveCrystal:GainsAboveCrystal.Local Inflow,GunnisonRiverAboveGrandJunction:GainsGunnisonRiverAbvGrandJunction.Local Inflow,DoloresRiver.Inflow,GrandValleyReach:GainsAboveCisco.Local Inflow,GreenRAboveGage09211200.Inflow,Gage09211200ToGage09217000:GainsAbv09217000.Local Inflow,Gage09217000ToGage09234500:GainsAbv09234500.Local Inflow,YampaRAbv09251000.Inflow,LittleSnakeRAbv09260000.Inflow,DuchesneAbv09302000.Inflow,WhiteRiverAbv09306500.Inflow,GreenRAbvGage09315000:GainsAbvGreenRUtah.Local Inflow,SanRafaelRiver.Inflow,SJAboveNavajo.Inflow,SJBelowNavajo:GainsAboveBluff.Local Inflow,ColoradoRAbvPowell:GainsAboveLeesFerry.Local Inflow,,CoRivPowellToVirgin:PariaGains.LocalInflow,CoRivPowellToVirgin:LittleCoR.LocalInflow,CoRivPowellToVirgin:GainsAboveGC.LocalInflow,VirginRiver.Inflow,CoRivVirginToMead:GainsAboveHoover.LocalInflow,CoRivMeadToMohave:GainsAboveDavis.LocalInflow,CoRivMohaveToHavasu:BillWilliamsRiver.LocalInflow,CoRivMohaveToHavasu:GainsAboveParker.LocalInflow,AboveImperialDamColoradoR:GainsOnColoRAboveImperialDam.LocalInflow,,,,,,,,,,
6/09,"1,492,179","627,566","83,716","473,112","98,000","288,483","181,781","4,803","653,800","38,108","314,893","766,060","202,830","535,168","230,581","175,022","131,211","449,955","247,355","208,631",,262,"11,463","28,834","5,338","35,492","31,664",22,"-21,979","-31,817",,,,,,,,,,
7/09,"564,560","408,244","56,685","270,697","31,000","109,827","128,828","6,237","375,100","35,524","113,268","303,486","162,235","294,512","155,108","299,802","49,472","152,337","256,964","336,033",,"1,453","2,373","53,707","5,013","107,349","60,524",22,"19,105","-50,553",,,,,,,,,,
8/09,"199,280","165,224","19,405","105,565","9,000","66,083","56,112","8,738","182,800","23,064","80,467","62,591","102,624","125,758","71,990","117,057","23,260","224,482","241,495","-4,573",,"3,602","40,461","-6,129","6,624","-109,121","32,390",51,"19,473","-28,685",,,,,,,,,,
9/09,"154,107","91,963","18,355","130,783","10,000","-29,424","36,895","1,432","142,600","8,356","36,302","57,560","64,963","130,191","64,711","126,826","13,151","366,400","188,830","-87,605",,"6,642","34,715","9,414","6,428","27,504","34,788",2,"19,858","-41,027",,,,,,,,,,
10/09,"95,330","61,182","9,649","62,551","6,000","22,505","24,397","-8,098","45,500",978,"27,197","32,412","20,808","53,222","35,480","35,243","7,908","66,554","76,925","4,903",,578,"3,878","25,623","5,606",963,"-11,365",99,"18,000","-64,209",,,,,,,,,,
11/09,"66,070","36,474","4,904","27,096","4,300","53,045","10,184",517,"40,000","-3,018","4,593","27,100","14,675","38,438","27,867","27,747","9,605","40,767","39,312","20,314",,"1,008","9,530","56,800","7,283","57,609","12,611",175,"-35,934","-35,942",,,,,,,,,,
12/09,"47,527","40,603","4,386","22,614","1,900","68,156","14,847","-8,218","6,000","3,553","15,089","15,600","5,107","33,343","9,843","-9,146","7,700","34,734","36,621","27,289",,938,20,"47,654","11,442","38,632","16,842",957,"-6,882","-33,939",,,,,,,,,,
1/10,"51,775","47,983","4,386","20,614","3,200","53,112","12,904","2,416","6,000","12,001","34,537","9,007",561,"22,852","6,988","-30,458","9,000","42,612","19,321","-39,489",,"1,160",25,"25,639","18,018","111,209","-5,548","3,342","11,241","-98,355",,,,,,,,,,
2/10,"40,592","45,500","4,713","17,287","3,500","47,305","13,732","-1,549","36,000","2,930","53,410","17,799","10,929","34,267","16,334","-32,785","11,100","36,939","59,232","76,330",,"1,873","1,171","15,102","16,731","68,806","2,746","5,159","-30,123","22,137",,,,,,,,,,
3/10,"114,650","76,352","6,968","82,032","17,400","63,013","67,930","18,390","175,000","33,611","158,469","108,466","59,694","64,303","61,997","41,641","44,800","139,723","52,335","17,097",,"2,023",128,"14,077","15,801","62,132","15,507","30,874","-47,859","31,476",,,,,,,,,,
4/10,"192,236","112,018","13,854","161,146","45,400","67,478","183,623","-14,769","130,000","24,179","99,868","218,954","60,900","113,159","76,064","33,407","46,808","158,355","63,701","-55,906",,960,"22,867",307,"15,151","73,842","42,052","8,139","-26,170","52,023",,,,,,,,,,
5/10,"432,027","336,735","31,778","286,232","68,900","213,400","219,717","2,182","342,100","-7,418","146,584","377,300","121,985","223,833","121,956","58,552","86,618","296,042","126,954","-186,684",,474,0,"-26,417","14,161","9,962","22,480","5,808","-15,880","-17,997",,,,,,,,,,
6/10,"495,871","352,352","34,431","251,397","48,500","152,111","124,793","49,306","268,400","16,614","38,204","210,148","93,751","130,359","106,681","123,936","33,389","212,636","206,685","152,141",,345,378,"37,054","5,768","31,407","21,320",30,"10,325","-72,156",,,,,,,,,,
7/10,"168,640","180,188","17,958","86,124","8,300","112,310","46,510","29,218","88,800","8,063","37,829","57,125","44,157","47,440","50,868","59,866","28,193","65,487","125,094","110,955",,"1,192",196,"2,111","5,410","87,351","74,533",5,"28,745","-58,582",,,,,,,,,,
8/10,"103,566","83,116","9,057","53,013","15,600","36,610","24,999","4,444","72,900","3,560","30,025","26,390","36,959","20,580","38,697","39,959","14,078","63,802","50,879","138,397",,"2,144",447,"-15,207","7,176","59,396","58,726",60,"-4,024","-39,462",,,,,,,,,,
9/10,"91,501","53,570","9,612","33,226","3,400","49,760","22,694","1,393","32,300","5,923","19,562","23,482","25,140","25,777","29,259","15,556","17,015","34,148","60,467","77,214",,"1,306","37,591","43,269","7,161","-10,137","26,474",96,"15,466","-63,566",,,,,,,,,,
10/10,"61,615","49,115","6,837","28,363","2,400","42,257","35,700","19,490","56,400","-1,801","28,583","22,912","14,540","36,966","27,044","19,535","13,808","74,752","58,489","19,463",,"4,344","37,352","18,511","6,790","19,184","-7,183",218,"26,789","58,605",,,,,,,,,,
11/10,"53,782","43,946","4,605","24,395","3,700","34,616","13,520","18,586","39,000","2,725","2,334","23,403","10,499","23,612","21,739","11,980","5,905","61,239","24,310","21,873",,"2,797","41,747","26,898","8,712","75,146","9,331",552,"-48,840","-21,377",,,,,,,,,,
12/10,"40,929","47,523","4,979","22,021","2,500","44,124","11,418","8,866","21,000","12,814","10,187","18,017","3,293","25,818","15,365","-13,290","6,200","59,311","-2,771","7,618",,"1,416",0,"46,720","13,726","67,101","16,669","4,211","-13,189","-15,216",,,,,,,,,,
1/11,"43,131","39,476","4,984","21,016","2,900","39,610","9,317","4,606","47,000",421,"33,906","16,169","8,115","27,104","15,618","-5,008","13,800","38,838","16,642","-10,271",,"2,635",11,"36,182","22,067","99,622","19,070","7,275","-29,813","-182,001",,,,,,,,,,
2/11,"41,643","33,873","3,524","17,476","4,500","44,511","12,104","3,409","56,000","-3,961","50,350","20,754","14,712","29,852","24,050",-649,"10,900","52,036","38,803","28,710",,"2,455",296,"36,367","26,893","60,360","10,633","12,340","-47,868","21,814",,,,,,,,,,
3/11,"57,967","59,592","4,372","31,628","7,000","89,387","56,146","21,958","97,000","6,328","93,410","60,804","36,022","32,114","36,930","23,715","10,100","118,296","59,584",-242,,"3,288",251,"23,077","23,521","65,370","8,564","66,894","-79,097","8,350",,,,,,,,,,
4/11,"107,070","74,298","6,174","103,826","27,000","13,962","121,106",956,"45,000",498,"36,640","123,326","18,500","28,701","50,941","24,677","9,708","254,590","44,989","-140,147",,"1,640",0,"42,229","29,888","23,031","22,159","32,072","-63,075","-40,001",,,,,,,,,,
5/11,"505,588","280,125","34,843","295,167","71,000","237,033","214,879","27,859","32,900","10,399","79,153","364,002","54,311","131,443","102,063","6,708","38,918","463,704","189,353","-214,811",,986,"6,618","-21,562","25,958","27,710","-12,278",52,143,"-96,893",,,,,,,,,,
6/11,"720,399","393,357","68,639","384,289","79,400","152,348","150,495","83,959","266,500","1,762","201,572","339,430","105,484","231,917","126,084","38,065","50,689","505,255","233,571","-8,873",,746,566,"32,277","10,076","77,735","22,179",14,"4,826","-141,618",,,,,,,,,,
7/11,"336,010","251,235","42,337","216,945","25,100","81,398","69,330","85,840","187,900","2,806","87,946","117,282","52,605","97,779","79,880","75,132","22,893","210,213","180,624","130,529",,"1,511",155,"60,414","6,470","74,635","1,143",6,"38,722","-115,654",,,,,,,,,,
8/11,"140,938","92,822","14,842","96,228","7,800","33,368","31,918","21,783","102,400","-1,518","51,106","30,563","33,116","36,115","43,228","30,946","20,378","127,961","132,782","-30,161",,"3,024",307,"-3,798","8,590","21,855","9,154",61,"-25,970","-65,300",,,,,,,,,,
9/11,"83,611","56,938","11,649","56,189","4,700","30,029","23,840","3,871","40,600","3,535","26,176","17,158","19,199","12,991","29,661","1,568","11,315","90,548","114,868","-44,799",,"2,089","7,602","45,619","8,900","50,622","17,140",71,"-34,832","-18,919",,,,,,,,,,
10/11,"88,882","96,684","14,694","105,506","12,000","26,985","103,754","24,503","46,100","4,316","28,173","32,579","23,746","49,368","33,566","18,200","22,008","67,791","112,457","226,692",,"6,094","3,310","10,186","8,766","71,118","35,818",259,"10,248","-52,127",,,,,,,,,,
11/11,"54,486","43,461","6,696","39,304","5,500","37,524","20,423","12,656","34,000","3,876","17,527","21,688","13,078","22,970","21,017",-589,"3,805","71,761","5,364","7,508",,"1,847","7,848","39,506","11,404","21,364","11,423",659,"18,082","-10,419",,,,,,,,,,
12/11,"40,166","46,510","6,305","27,695","3,100","40,840","12,852","5,572","27,000","2,251","7,943","18,461","6,359","29,703","20,984","-11,702","3,700","46,690","17,731",881,,"1,364",0,"51,511","24,537","-3,498","14,489","5,121","-2,865","-8,534",,,,,,,,,,
1/12,"47,237","45,736","4,052","24,948","4,200","30,968","10,594","4,305","23,000","-1,278","20,838","15,341","4,392","26,966","19,249","-2,689","3,100","42,241","24,250","-1,409",,"3,256",539,"27,102","28,468","6,843","-6,381","8,951","-23,832","-21,801",,,,,,,,,,
2/12,"43,409","31,653","3,400","21,600","3,700","29,347","12,377","10,554","21,000","-1,238","33,874","12,058","2,824","30,042","14,365","-9,489","4,000","39,381","34,278","-10,098",,"3,991","1,851","14,753","33,110","22,821","15,406","16,060","-23,921","-3,017",,,,,,,,,,
3/12,"49,562","42,909","4,285","37,715","7,100","37,736","36,226","9,612","35,000","5,651","33,179","41,789","14,427","37,923","33,803","25,037","6,100","98,485","43,021","-61,417",,"4,586",0,"7,938","28,059","12,355","10,227","101,588","-42,868","-33,372",,,,,,,,,,
4/12,"84,179","63,244","8,789","104,211","53,200","-29,622","144,522","-32,815","60,000","17,038","58,422","122,286","29,252","40,211","56,820","6,841","5,708","243,880","40,911","-174,669",,"2,486","86,512","-40,985","36,146","46,444","-65,848","51,794","-62,444","-90,161",,,,,,,,,,
5/12,"469,364","398,814","34,103","328,907","78,800","426,861","352,771",437,"162,000","11,126","105,220","455,609","86,964","126,630","120,378","-41,958","33,318","438,143","208,296","-111,631",,"1,805",0,"-43,247","30,525","7,126","17,061",160,"-25,346","-66,115",,,,,,,,,,
6/12,"1,164,973","570,865","62,529","395,599","79,500","386,835","180,894","45,728","584,100","26,255","264,252","636,888","183,933","396,929","197,439","101,369","113,289","410,531","286,537","62,651",,572,262,806,"12,713","8,899","66,009",271,"-41,321","-114,847",,,,,,,,,,
7/12,"617,765","386,645","45,020","226,962","24,800","184,796","89,615","45,258","416,400","31,165","88,744","236,885","91,355","136,249","106,159","86,269","30,793","181,875","150,193","29,288",,"2,027",83,"59,763","8,457","45,674","71,414",130,"-3,234","-95,064",,,,,,,,,,
8/12,"218,221","162,211","15,671","87,399","7,400","82,791","50,220","12,660","168,800","10,118","67,098","56,093","68,139","60,214","56,879","66,978","17,578","104,016","91,285","-41,399",,"3,415",766,"-1,900","10,587","23,131","-7,611",866,"25,650","-44,335",,,,,,,,,,
9/12,"108,734","59,459","12,504","45,334","2,700","44,158","26,921","4,243","66,500","6,791","36,525","25,341","36,742","38,187","31,263","4,782","5,115","79,690","102,295","-105,742",,"3,165","32,847","52,967","10,964","-19,356","-3,441",359,"-6,157","6,825",,,,,,,,,,
10/12,"92,922","68,921","10,093","46,907","6,000","20,495","37,121","8,981","53,000","7,453","41,146","30,779","14,240","36,342","26,834","16,110","23,608","36,232","55,927","3,162",,"2,689","47,251","2,492","6,169","-20,621","24,217",381,"16,881","-39,440",,,,,,,,,,
11/12,"53,868","60,387","5,327","23,673","4,400","35,834","33,100","12,471","45,000","12,715","22,397","23,895","10,175","37,167","27,068","30,186","11,905","27,102","28,091","28,305",,"1,784",780,"2,296","7,914","4,728","7,112",508,"-51,745","-19,541",,,,,,,,,,
12/12,"45,820","45,883","5,704","22,296","1,500","36,763","17,474","-4,400","61,000","-6,239","13,858","13,574","3,544","24,052","13,908","-23,998","2,900","26,794","13,259","-8,653",,"1,147","2,510","35,378","12,501","44,349","14,537","3,667","-9,364","-9,928",,,,,,,,,,
1/13,"45,295","54,887","3,723","21,277","2,600","28,779","15,508","6,971","33,000",-170,"22,893","17,144","8,390","34,464","24,893","2,005","2,500","20,626","16,451","-7,196",,"1,280",594,"19,702","20,468","27,624","-15,128","6,125","-20,586","-8,205",,,,,,,,,,
2/13,"37,443","38,937","3,277","16,723","3,300","27,414","18,081","9,860","26,000","3,558","30,123","14,450","6,417","32,972","18,393","-5,143","2,800","24,848","24,872","-20,289",,"2,321","2,246","20,849","17,716","60,884","-28,085","8,824","-27,863","-6,509",,,,,,,,,,
3/13,"43,405","45,859","4,055","25,945","6,200","32,860","40,515","9,501","61,000","10,247","60,321","42,250","21,433","30,492","31,196","1,632","8,400","65,373","34,357","-51,700",,"3,024","15,202","10,925","19,850","56,890","34,152","30,559","-28,809","-15,906",,,,,,,,,,
4/13,"178,781","144,554","9,366","97,634","28,000","122,548","222,157","-82,915","135,000","27,549","87,398","236,640","80,745","101,962","70,810","37,783","20,108","141,192","132,878","37,472",,"1,441","2,290","9,719","24,246","80,825","8,217","12,257","-7,342","-31,300",,,,,,,,,,
5/13,"452,171","341,949","31,327","208,683","51,800","171,747","244,586","-58,654","269,300","4,657","119,790","376,532","94,274","168,663","101,270","-3,249","74,118","273,273","146,824","201,712",,865,0,"-70,824","17,406","33,097","-22,770","10,074","-19,397","-60,668",,,,,,,,,,
6/13,"454,694","365,228","35,039","196,389","40,700","123,751","152,848","8,857","523,100","28,560","104,781","264,506","77,660","173,625","90,024","16,438","43,889","238,565","145,432","60,901",,516,132,"-69,876","6,261","44,475","7,230",61,"-13,251","-86,935",,,,,,,,,,
7/13,"223,095","190,952","21,674","93,208","10,200","73,128","69,657","8,179","361,900","35,819","45,590","148,506","101,204","123,457","71,680","190,302","28,393","81,765","134,309","-28,541",,"1,531","3,879","7,270","5,872","155,665","66,140",15,"21,233","-100,829",,,,,,,,,,
8/13,"111,851","88,025","10,243","66,427","4,600","23,735","39,141","-3,027","156,200","17,017","41,223","30,870","57,634","53,435","37,071","26,549","17,978","43,310","117,505","-64,916",,"2,663","73,316","-1,372","7,778","-95,084","11,609",318,"-7,353","-82,826",,,,,,,,,,
9/13,"88,371","67,709","9,115","52,223","4,100","33,617","37,124",208,"80,700","8,571","33,040","28,165","37,132","40,537","35,139","11,864","15,415","43,674","81,971","-7,048",,"2,135","17,241","30,152","7,318","-13,308","14,663",67,"14,615","-57,514",,,,,,,,,,
10/13,"89,738","55,797","8,749","39,251","5,300","34,279","29,479","4,612","57,000","6,092","39,528","31,721","13,496","36,287","28,905","10,581","4,513","61,156","68,430","45,438",,"1,644","39,259","7,338","4,196","2,664","19,299",199,"-23,324","52,667",,,,,,,,,,
11/13,"63,309","45,576","5,062","32,938","4,200","30,186","19,753","13,548","50,000","1,276","17,605","26,778","10,669","46,580","24,666","18,993","7,409","64,386","11,652","43,783",,"1,538",353,"28,951","5,450","21,891","26,140",213,"-53,249","-34,959",,,,,,,,,,
12/13,"41,991","25,548","4,250","25,750","2,200","39,571","8,769","-6,771","21,000","2,585","14,049","17,887","4,290","36,844","18,357","-9,772","4,000","47,625","4,247","27,425",,"1,001",513,"35,414","8,263",-210,"15,234",467,"-26,442","-43,160",,,,,,,,,,
1/14,"45,102","49,444","3,812","22,188","3,200","35,914","12,117","8,382","25,000","4,799","29,199","14,115","6,215","39,629","13,565","-6,622","3,400","35,300","20,792","3,988",,"1,226","16,662","25,567","9,509","13,474","-11,376","12,200","-13,103","-33,465",,,,,,,,,,
2/14,"41,898","37,863","3,949","17,051","3,900","28,235","12,965","5,434","26,000","2,359","39,391","16,825","9,389","43,352","18,628","-7,307","3,600","28,269","41,498","27,835",,"1,986",865,"15,873","12,228","36,318","-41,010","50,400","-16,913","-43,948",,,,,,,,,,
3/14,"62,247","45,397","4,545","42,455","8,300","31,982","32,381","-2,676","63,000","15,068","78,888","59,323","37,689","51,865","47,596","43,554","5,500","80,027","85,417","83,497",,"2,468","8,194","18,701","12,341","-3,593","21,963","3,700","-36,735","-63,524",,,,,,,,,,
4/14,"154,771","110,113","8,871","95,129","26,500","94,471","173,211","-61,212","147,000","26,131","127,771","226,907","75,555","105,043","70,262","1,149","15,410","211,887","71,045","-86,199",,"1,086",0,"28,064","11,683","15,349","16,032","1,500","-20,021","-56,252",,,,,,,,,,
5/14,"770,934","389,027","40,319","342,691","82,300","363,467","250,023","-88,030","356,900","7,162","251,275","634,232","183,505","310,885","151,965","-23,967","113,372","381,662","190,775","-22,846",,529,0,"-53,813","11,256","32,713","26,573","1,400","5,365","-43,196",,,,,,,,,,
6/14,"1,132,594","450,326","56,365","378,963","75,800","361,550","168,949",-14,"598,500","24,557","182,122","571,321","187,924","366,522","197,169","155,316","111,011","384,197","311,774","581,066",,368,66,"130,825","4,462","70,023","48,151","1,500","-3,148","-67,394",,,,,,,,,,
7/14,"382,642","340,219","37,868","204,914","21,100","241,396","113,584","18,025","319,400","23,378","68,173","170,153","79,820","119,597","113,527","135,091","34,238","157,357","195,024","341,187",,"1,142","1,701","2,244","4,271","39,275","38,788","1,500","-19,235","-49,985",,,,,,,,,,
8/14,"186,215","149,434","14,022","99,248","9,300","102,211","70,805","2,625","125,300","5,474","53,561","45,168","48,130","44,640","57,164","59,213","19,492","89,990","156,982","66,464",,"2,278","1,082","-14,668","5,098","108,128","23,313","1,500","-12,824","-48,484",,,,,,,,,,
9/14,"112,069","70,795","9,521","57,217","4,500","60,521","36,573","-2,772","55,800","5,575","25,598","22,820","28,358","33,872","32,883","10,641","5,321","68,893","134,518","11,161",,"1,285","16,613","44,842","5,223","1,040","9,957","1,400","2,646","-2,551",,,,,,,,,,
10/14,"101,672","42,793","9,951","56,249","6,900","27,251","20,251","-3,516","36,000","-2,200","37,717","33,342","15,394","51,161","32,524","43,569","10,107","86,068","137,089","222,605",,"3,366",0,"24,205","4,477","56,624","24,127","2,000","5,441","-69,474",,,,,,,,,,
11/14,"58,314","48,268","6,803","41,197","6,000","20,823","20,480","15,177","31,000","-1,300","21,032","22,910","10,866","33,457","24,897","20,168","2,505","38,597","55,281","50,880",,"1,145",859,"50,547","5,743",895,"-16,136","1,600","-24,569","-20,800",,,,,,,,,,
12/14,"38,006","27,068","4,437","25,563","1,900","41,077","8,674","-5,432","24,000",600,"12,182","15,829","3,736","28,947","17,162","-5,301","3,700","22,344","40,235","29,603",,686,"17,397","36,919","8,749","29,090","8,632","1,800","6,967","-11,575",,,,,,,,,,
1/15,"38,568","52,564","4,197","22,803","3,100","36,038","12,693","10,191","20,000",-100,"23,502","11,141","2,967","24,778","19,928","-7,986","3,000","21,660","40,700","-35,610",,"1,772",0,"28,941","10,598","98,251","-12,634","23,300","13,577","-102,348",,,,,,,,,,
2/15,"37,156","37,815","3,820","19,180","3,600","29,311","13,312","7,101","18,000",0,"36,052","15,178","2,991","20,730","15,873","-6,721","2,600","36,611","92,691","12,036",,"2,809",606,"23,076","12,619","105,325","4,407","59,500","-19,155","14,093",,,,,,,,,,
3/15,"45,815","39,198","4,198","42,802","7,700","9,832","25,329","3,274","41,000","8,100","31,191","34,500","16,638","24,205","26,900","8,050","12,800","71,993","65,105","7,209",,"2,350",780,"-24,841","12,952","51,440","3,104","6,500","-20,191","-17,756",,,,,,,,,,
4/15,"136,351","89,297","7,216","77,784","21,500","127,603","162,027","-20,204","71,000","13,200","47,188","143,428","27,286","63,277","59,669","33,442","15,008","296,684","183,328","-71,212",,"1,264","1,354","-118,251","15,480","31,691","47,813","1,900","12,426","52,516",,,,,,,,,,
5/15,"286,563","225,158","18,765","121,245","31,700","309,786","209,442","-31,931","100,000",-700,"80,706","269,643","58,466","83,812","83,869","38,105","33,497","340,274","249,651","-80,914",,540,0,"-95,346","16,894","31,873","-14,092","7,500","-5,838","-27,416",,,,,,,,,,
6/15,"584,541","373,354","33,939","236,289","48,500","267,113","154,483","26,864","176,100","2,100","140,245","285,277","83,079","183,572","114,847","68,664","47,692","400,317","257,950","157,546",,473,289,"28,047","6,147","67,211","24,613","5,700","-74,281","-68,775",,,,,,,,,,
7/15,"309,362","188,905","22,137","119,245","10,000","123,920","68,480","26,105","187,000","18,100","34,380","96,416","44,720","75,652","61,333","64,946","22,665","239,547","207,453","227,429",,921,15,"53,660","4,278","96,564","40,795","2,200","-77,512","-77,917",,,,,,,,,,
8/15,"109,559","85,043","9,196","58,174","4,600","42,987","37,951","-11,433","94,600","8,200","31,643","24,022","37,679","37,320","36,683","32,436","8,376","69,318","76,836","60,348",,"1,169","11,525","-5,996","5,625","88,280","-4,954","1,800","-11,417","-61,500",,,,,,,,,,
9/15,"67,986","46,620","8,123","29,815","3,000","24,278","18,248","-2,774","70,000","5,600","24,156","15,844","24,334","25,166","27,991","16,329","4,915","42,457","34,946","41,834",,"1,490","33,332","17,226","5,636","-12,331","10,122","2,000","7,446","-17,517",,,,,,,,,,
10/15,"71,183","37,787","5,995","27,005","3,100","33,489","28,290","-6,179","61,500","12,300","15,570","26,666","13,740","54,783","29,965","38,220",610,"30,482","33,762","39,715",,"1,503","1,515","20,329","9,086","24,181","18,299","1,100",-487,"-38,768",,,,,,,,,,
11/15,"48,013","32,432","4,166","23,834","4,600","37,107","16,146","-1,407","42,000","6,500","12,130","23,872","8,482","33,865","22,246","22,838","7,107","35,057","4,650","27,412",,"1,894",130,"58,463","11,670","34,138","-7,789","1,300","-86,517","-22,310",,,,,,,,,,
12/15,"42,722","33,575","4,364","20,636","2,500","45,846","15,347","-9,545","35,000","3,300","11,954","17,756","7,699","35,447","16,573","-9,904","4,200","18,975","20,163","26,640",,"1,393",0,"41,549","18,987","-2,658","-6,185","1,200","-118,479","-22,469",,,,,,,,,,
1/16,"44,486","45,678","2,717","20,283","1,600","54,538","16,488","-4,133","25,000",500,"26,298","13,450","4,921","34,662","13,048","-8,092","3,600","29,163","51,227","18,562",,"2,145","184,473","30,592","37,710","20,215","-14,152","110,800","-16,980","-35,053",,,,,,,,,,
2/16,"39,515","42,812","2,922","16,078","3,400","66,003","21,387","-5,868","28,000","4,700","32,203","17,216","11,201","37,695","17,263","-15,264","4,700","29,366","51,248","19,790",,"3,800","2,435","17,990","35,088","36,275","-28,997","81,700","-16,438","-7,211",,,,,,,,,,
3/16,"76,730","78,863","4,036","33,964","6,800","116,963","97,158","9,140","80,000","41,300","60,026","99,210","57,169","65,564","63,471","95,597","23,300","212,423","169,237",451,,"7,160","4,800","16,629","34,413","41,453","34,684","52,100","-33,362","6,308",,,,,,,,,,
4/16,"142,655","133,401","6,615","101,385","28,000","157,979","291,673","-88,420","140,000","17,300","97,601","174,027","54,336","83,501","63,896","17,417","12,309","285,980","168,540","-85,460",,"2,041","6,592",-628,"39,702","22,819","34,905","14,400","-13,242","-47,125",,,,,,,,,,
5/16,"457,586","355,956","26,824","283,186","68,400","296,125","371,643","-101,715","247,000","-8,500","167,781","440,163","137,404","182,697","128,560","74,234","40,333","350,984","265,495","-47,968",,887,"23,587","-32,664","37,521","-126,532","15,606","3,600","16,726","-33,675",,,,,,,,,,
6/16,"730,234","493,851","49,493","389,535","76,500","236,473","270,357",-157,"493,900","27,900","205,214","344,181","114,299","245,501","139,487","-20,660","77,496","433,131","262,836","182,578",,491,0,"8,950","14,377","19,514","62,846","2,600",-968,"-86,665",,,,,,,,,,
7/16,"332,998","296,765","32,606","170,676","18,600","155,132","136,224","-24,459","350,900","28,400","42,965","125,746","55,371","107,291","97,939","41,041","36,400","190,935","174,253","263,278",,"2,671",34,"-3,557","9,277","67,897","72,158","2,800","-13,926","-90,100",,,,,,,,,,
8/16,"197,641","209,038","16,631","131,639","10,400","99,113","103,877","12,755","149,200","11,500","30,711","48,888","36,657","69,190","74,725","82,530","33,383","191,968","268,442","153,576",,"6,361","46,579","55,601","12,001","260,041","57,775","10,600","-13,684","-67,187",,,,,,,,,,
9/16,"113,043","84,755","10,572","56,266","4,700","51,467","38,103","-5,621","60,700","4,900","23,806","26,683","16,458","30,680","39,818","10,488","7,818","80,336","89,984","64,543",,"1,374","5,252","61,341","11,695","16,639","13,838","30,200","2,183","-15,133",,,,,,,,,,
10/16,"96,695","137,428","10,963","54,037","7,300","-8,412","116,763","14,726","51,000","2,700","33,219","46,100","24,108","71,319","39,561","44,019","52,310","210,098","345,129","53,729",,"13,472",0,"15,518","7,095","77,863","17,367","1,400","-1,818","-55,673",,,,,,,,,,
11/16,"62,460","57,011","5,717","32,283","4,600","13,929","17,372","12,600","31,000",-200,"17,865","33,900","13,784","30,890","20,363","8,626","4,807","63,496","73,404","-8,192",,"2,118",83,"23,177","9,237","37,203","12,806","1,300","-12,004","-13,557",,,,,,,,,,
12/16,"48,365","43,073","5,324","26,676","1,800","21,539","9,807","9,901","24,000",900,"12,359","29,500","7,205","28,759","20,599","5,331","5,400","34,682","26,808","7,089",,708,"19,720","27,284","20,019","41,912","38,334","4,600","-23,614","-18,384",,,,,,,,,,
