Corresponding USGS gauge number,09072500,09095500,09109000,09124700,09127800,09152500,09180000,09180500,09211200,09217000,09234500,09251000,09260000,09302000,09306500,09315000,09328500,09355500,09379500,09380000,,09382000,09402000,09402500,09415000,09421500,09423000,09426000,09427520,09429490,,,,,,,,,,
USGS gauge name,"Colorado River At Glenwood Springs, CO","Colorado River Near Cameo, CO","Taylor River Below Taylor Park Reservoir, CO","Gunnision River Above Blue Mesa Reservoir,CO","Gunnison River At Crystal Reservoir,CO","Gunnison River Near Grand Junction, CO","Dolores River Near Cisco, UT",Colorado River Near Cisco UT,Green R Bel Fontenelle Res WY,"Green R. Nr Green River, WyY","Green River Near Greendale, UT","Yampa River Near Maybell, CO\","Little Snake River Near Lily, CO","Duchesne River Near Randlett, UT","White River Near Watson, UT","Green River At Green River, UT","San Rafael River Near Green River, UT","San Juan River Near Archuleta,NM","San Juan River Near Bluff, UT","Colorado R At Lees Ferry, AZ",,"Paria R At Lees Ferry, AZ","Little Colorado River Near Cameron, AZ","Colorado River Near Grand Canyon, AZ","Virgin River At Littlefield, AZ","Colorado River Below Hoover Dam, AZ-NV","Colorado River Below Davis Dam, AZ-NV","Bill Williams River Below Alamo Dam, AZ","Colorado River Below Parker Dam, AZ-CA","Colorado River Above Imperial Dam, AZ",,,,,,,,,,
,(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),,(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),,,,,,,,,,
Date,UpperColoradoReach.Inflow,ColoRAbv09095500:GainsAbvCameo.Local Inflow,TaylorRiver.Inflow,TaylorAboveBlueMesa:GainsAboveBlueMesa.Local Inflow,GunnisonRiverAboveCrystal:GainsAboveCrystal.Local Inflow,GunnisonRiverAboveGrandJunction:GainsGunnisonRiverAbvGrandJunction.Local Inflow,DoloresRiver.Inflow,GrandValleyReach:GainsAboveCisco.Local Inflow,GreenRAboveGage09211200.Inflow,Gage09211200ToGage09217000:GainsAbv09217000.Local Inflow,Gage09217000ToGage09234500:GainsAbv09234500.Local Inflow,YampaRAbv09251000.Inflow,LittleSnakeRAbv09260000.Inflow,DuchesneAbv09302000.Inflow,WhiteRiverAbv09306500.Inflow,GreenRAbvGage09315000:GainsAbvGreenRUtah.Local Inflow,SanRafaelRiver.Inflow,SJAboveNavajo.Inflow,SJBelowNavajo:GainsAboveBluff.Local Inflow,ColoradoRAbvPowell:GainsAboveLeesFerry.Local Inflow,,CoRivPowellToVirgin:PariaGains.LocalInflow,CoRivPowellToVirgin:LittleCoR.LocalInflow,CoRivPowellToVirgin:GainsAboveGC.LocalInflow,VirginRiver.Inflow,CoRivVirginToMead:GainsAboveHoover.LocalInflow,CoRivMeadToMohave:GainsAboveDavis.LocalInflow,CoRivMohaveToHavasu:BillWilliamsRiver.LocalInflow,CoRivMohaveToHavasu:GainsAboveParker.LocalInflow,AboveImperialDamColoradoR:GainsOnColoRAboveImperialDam.LocalInflow,,,,,,,,,,
6/08,"528,043","333,728","42,651","204,977","45,000","115,836","74,881","59,751","294,200","25,147","138,756","275,354","75,804","193,201","96,894","72,211","57,377","249,629","132,525","-93,605",,686,"4,395","28,847","5,947","17,759","18,442",12,"17,180","-15,581",,,,,,,,,,
7/08,"237,460","207,356","26,706","116,176","13,000","60,916","34,496","37,850","197,000","28,971","86,980","125,107","73,681","130,296","64,987","113,384","29,769","134,974","133,638","71,536",,"1,998",102,"52,116","5,409","60,623","50,186",5,"24,023",-967,,,,,,,,,,
8/08,"144,038","111,947","13,453","92,717","8,000","10,200","22,671","19,278","138,800","9,856","55,651","40,358","62,967","56,755","49,357","116,681","14,435","167,344","91,932","-108,963",,"4,372","13,532","54,395","7,146","65,552","32,425",57,"-2,681","-21,650",,,,,,,,,,
9/08,"69,132","52,259","10,515","34,123","4,500","32,913","17,784","9,648","46,300","6,795","25,620","20,937","29,484","36,462","28,009","33,765","5,675","44,900","58,807","30,460",,"1,821","45,409","47,676","6,878","-13,465","42,806",63,"24,942","-2,335",,,,,,,,,,
10/08,"54,734","35,171","6,962","29,038","3,000","37,787","32,360",-943,"40,000",76,"31,464","22,695","11,839","43,097","31,080","41,187","3,098","40,400","35,503","-14,921",,"1,726","4,825","11,333","5,151","80,008","-8,319",127,"23,751","-55,965",,,,,,,,,,
11/08,"46,300","44,102","4,806","21,194","4,300","29,025","19,096","8,062","25,000","-1,174","12,368","18,202","5,685","27,811","23,982","16,595","2,256","24,100","24,842","39,155",,956,"26,778","30,543","6,691","38,578","10,093",254,"-25,452","-17,609",,,,,,,,,,
12/08,"41,728","44,089","6,639","20,361","2,200","42,340","14,520","-2,102","6,000","5,171","11,512","9,877","2,367","14,951","14,181","-14,779","3,218","18,300","27,672","43,900",,570,"1,398","52,496","10,147","13,411","21,644",578,"-32,739","-7,273",,,,,,,,,,
1/09,"47,445","46,735","4,956","20,044","3,300","32,242","12,258","7,380","27,000","-2,670","21,034","14,894","5,950","28,998","23,207","3,253","3,448","35,100","31,615","12,800",,737,"1,808","44,737","11,706","60,866","33,045",471,"-31,493","50,465",,,,,,,,,,
2/09,"36,981","29,905","3,498","17,502","4,000","29,733","10,948","2,878","20,000",-800,"37,972","13,585","3,402","26,901","12,700","-18,414","3,222","20,700","38,009","24,736",,"1,420",0,"19,174","15,434","48,006","40,787","11,966","-26,637","28,010",,,,,,,,,,
3/09,"53,003","40,508","4,621","34,379","7,100","23,533","27,850","4,446","89,000","27,900","93,505","84,917","44,293","50,399","51,153","58,370","6,644","109,000","42,149","-89,049",,"1,723","11,655","17,042","13,971","15,908","78,620","68,919","-35,543","41,112",,,,,,,,,,
4/09,"94,156","77,648","9,693","83,307","23,000","40,584","152,239","-36,518","126,000","27,651","92,783","165,236","49,893","54,867","49,110","-11,989","8,083","261,000","41,939","-188,190",,978,"68,735","15,172","12,182","31,297","55,562","28,950","-27,472","12,607",,,,,,,,,,
5/09,"365,065","332,140","31,940","329,070","79,000","218,555","318,719","-7,491","360,000","2,585","192,947","472,119","144,433","185,273","113,079","-63,247","44,689","365,300","164,220","-299,099",,403,0,"-58,853","13,519","14,556","47,150",43,"-18,553","-25,864",,,,,,,,,,
